lookback,skip,n_long,cagr,vol,sharpe,max_dd,calmar,avg_turnover_pct,n_rebalances
3,0,3,0.03216460140966282,0.1868325204744112,0.2631469978932835,-0.2856726055619412,0.11259252999213011,124.76190476190476,140
3,0,5,0.05313006166891676,0.17101518792158169,0.3884823834813825,-0.32092285651847663,0.1655539971359375,107.42857142857144,140
3,0,10,0.04864174014107414,0.16197333058904748,0.37462300253305236,-0.31373929107377774,0.15503872649994524,84.42857142857144,140
3,0,15,0.058122115697557986,0.16039470982906143,0.43293507695832173,-0.33101230324475084,0.17558898907326242,67.52380952380952,140
3,0,20,0.06029355099365019,0.1586877528669634,0.4487942064455432,-0.33749438025540157,0.17865053322672383,56.42857142857143,140
3,1,3,-0.00011754716481060523,0.20024166103433863,0.10003739961387856,-0.4240544022111009,-0.00027719831275820224,141.42857142857144,140
3,1,5,0.01408510156666165,0.18879365402015838,0.16923321292480364,-0.4304228699867161,0.032723868894550964,124.85714285714286,140
3,1,10,0.028104768144314285,0.17497822442153307,0.2466746446360646,-0.4373901002884758,0.06425561101126454,102.0,140
3,1,15,0.03716086677538777,0.17016314802070628,0.30025777017856614,-0.4003499202126676,0.09282096710709412,86.0,140
3,1,20,0.042674890327979,0.16598846761224617,0.3353926771533432,-0.38021419455201166,0.11223907718190479,71.78571428571429,140
6,0,3,0.04591468622120565,0.1930336892385234,0.32960084096502773,-0.3501177705949178,0.13114069058302216,79.80535279805353,137
6,0,5,0.057442447640631,0.1704767951554038,0.4132841419411288,-0.3411592380132362,0.16837429927194983,72.40875912408761,137
6,0,10,0.05987757086819534,0.16117585038500015,0.441882058186895,-0.329128245190613,0.1819277796517207,59.56204379562043,137
6,0,15,0.061278761489073075,0.1600894584867619,0.4520514534769532,-0.3333855796574907,0.18380747467250635,48.3698296836983,137
6,0,20,0.07008861690448653,0.15985453276211917,0.5041904194990596,-0.3306596242615436,0.21196605742540905,38.68613138686132,137
6,1,3,0.040186279734325536,0.19876533935304747,0.29850067961218857,-0.4825441957713654,0.08327999815661698,89.05109489051095,137
6,1,5,0.029045453589841674,0.18482216845390925,0.24798445319990764,-0.4323737469613921,0.0671767279904606,76.2043795620438,137
6,1,10,0.04951665871015254,0.1732030751448285,0.3663292363550344,-0.38479254093589244,0.1286840399497301,64.37956204379563,137
6,1,15,0.05475869375532261,0.16838863478503147,0.4014341294280656,-0.37721461073822127,0.1451658875252951,54.40389294403892,137
6,1,20,0.0554856649302824,0.1659335918496218,0.4090478086742884,-0.3728609814092808,0.1488105961652691,44.087591240875916,137
9,0,3,0.044778870255165915,0.1765552314969201,0.3366797116783274,-0.32711151595730803,0.1368917573082633,69.65174129353233,134
9,0,5,0.046230424879307064,0.16775857059924992,0.3535164788151289,-0.3405280071089607,0.13576100618506382,60.59701492537313,134
9,0,10,0.06109557724815029,0.161430349411181,0.4484142440816201,-0.32819596451451816,0.18615578451284598,46.268656716417915,134
9,0,15,0.0617419051519561,0.1601244341723761,0.4546009386326773,-0.3169370800828839,0.19480808347136172,38.80597014925373,134
9,0,20,0.059767575821149777,0.15815349664507428,0.4464938787090931,-0.32706054408231466,0.18274162659653456,32.53731343283582,134
9,1,3,0.022180917783596543,0.19179200515961808,0.21058864104663053,-0.43781039408579825,0.0506632964480275,76.61691542288557,134
9,1,5,0.03562918864661979,0.18172596545486883,0.2838358441365484,-0.37770896886768535,0.09432973951725515,65.3731343283582,134
9,1,10,0.056687935805423084,0.1704516216122623,0.40910174347745454,-0.3492159994144757,0.16232914843670035,49.70149253731344,134
9,1,15,0.057853198389435256,0.16629127866977436,0.42173684980101417,-0.3448763080448619,0.16775057329223567,44.5771144278607,134
9,1,20,0.06295395290874417,0.1614239160375632,0.4593034951751476,-0.33617875557445287,0.18726332900236428,35.59701492537314,134
12,0,3,0.07530523718543791,0.17697773535718397,0.499095850664431,-0.24141144769147915,0.31193730829897126,69.21119592875317,131
12,0,5,0.06946436376861831,0.16927928330825204,0.481647752280819,-0.26149672505827726,0.2656414291733002,52.21374045801526,131
12,0,10,0.06882268933765134,0.16111960974060702,0.49400956639114435,-0.29223240908374026,0.2355066967193565,43.81679389312978,131
12,0,15,0.07027943947054327,0.15847528825146984,0.5081743710062917,-0.31182912465369783,0.2253780481492618,35.521628498727736,131
12,0,20,0.073679279178257,0.15701616133430443,0.5316632056023616,-0.33246189934297476,0.22161721184853095,26.259541984732827,131
12,1,3,0.05868312423880995,0.17980565944797597,0.4073758554420047,-0.3222431461598654,0.1821082152968341,65.64885496183206,131
12,1,5,0.05614124807782628,0.169680650308491,0.4069844150556391,-0.282373013853625,0.19881945272195337,54.961832061068705,131
12,1,10,0.06689635353996515,0.16460186943249028,0.4759717508575971,-0.31488134603728113,0.2124494015979111,41.526717557251914,131
12,1,15,0.06905349614978906,0.1619231980283793,0.4936794479705269,-0.32718512950114587,0.21105328428304143,35.41984732824427,131
12,1,20,0.062217280527725016,0.16098093863278493,0.45581708829052836,-0.3430570884001709,0.18136130291862532,30.15267175572519,131
18,0,3,0.055617659587152035,0.17536974286119184,0.39689437463777544,-0.31902114965175565,0.17433847143947798,64.0,125
18,0,5,0.06746586190787895,0.16754347142975484,0.473832156899866,-0.2896800534881172,0.23289785090655693,47.68,125
18,0,10,0.07740969609186021,0.16145245646527248,0.5428692192203612,-0.31114419430204376,0.24879042421313707,33.92000000000001,125
18,0,15,0.07626002585735492,0.15746029291225475,0.5458477378929271,-0.32086648111638827,0.23766903165461223,26.13333333333333,125
18,0,20,0.07621585766486638,0.15597272800286602,0.5493109542977093,-0.3288929266470868,0.23173456006443266,22.800000000000004,125
18,1,3,0.06318717495093673,0.19296359766398563,0.4148472211975004,-0.40138654570740184,0.1574222544992781,56.533333333333346,125
18,1,5,0.0690924961818622,0.1711024475419531,0.476313978392972,-0.3173739997566638,0.21770055592089024,48.0,125
18,1,10,0.07599501455436264,0.16270992422722733,0.5318090281791521,-0.309945288399756,0.24518848131786108,35.68,125
18,1,15,0.07661140806683275,0.16030863358641909,0.5410095799441372,-0.3301187489342605,0.23207227191476199,27.733333333333327,125
18,1,20,0.07010466522088454,0.16051259065938228,0.5028556554470153,-0.36032437737758327,0.1945598733316397,23.44,125
