strategy,alpha_annualized,alpha_t_stat,alpha_p_value,beta,beta_t_stat,r_squared,n_obs
Momentum 6-1 (baseline),-0.04880603654113529,-2.029793798975545,0.04237750355369587,0.8808523071014578,25.86722512141723,0.7944381924235198,2988
Momentum 18-0 (best in-sample),-0.016490535408805233,-0.8286901174970973,0.4072797792888714,0.801771826160532,28.305588467709157,0.8116512506227715,2988
Momentum 18-0 + 200d MA filter,-0.006209467744081094,-0.23937302951206477,0.8108163414995859,0.37772995343339094,5.972217401016466,0.3530702954021042,2988
