,CAGR,Vol (ann.),Sharpe,Sortino,Max DD,Calmar,Hit rate
Momentum 6-1 (baseline),0.04951665871015254,0.1732030751448285,0.3663292363550344,0.32963313851215786,-0.38479254093589244,0.1286840399497301,0.5115423218467715
SPY,0.11855565951510405,0.17528921904245207,0.7271617624937023,0.6869309929254923,-0.3410474670449847,0.34762216691515957,0.5455153949129853
Equal-weight universe,0.05689771531338983,0.16468127705079924,0.41894124309266756,0.3920751820435143,-0.3692362430839008,0.15409569450218102,0.5334672021419009
