segment,train,test,best_params_train,in_sample_sharpe,in_sample_cagr,oos_cagr,oos_sharpe,oos_max_dd
1,2014-07-03→2018-07-02,2018-07-03→2020-01-01,lb=6 skip=0 N=10,0.45610005110884133,0.0516430343517964,-0.03869126289356617,-0.332912359845779,-0.1637342061225895
2,2016-01-01→2019-12-31,2020-01-01→2021-07-02,lb=6 skip=0 N=15,0.7345847458565168,0.08868038231775555,0.1964616616347441,1.2796486303507641,-0.11888852604693989
3,2017-07-02→2021-07-01,2021-07-02→2022-12-31,lb=6 skip=0 N=5,0.6244814198223244,0.10530506629018976,-0.10292788477405745,-0.9007210521615603,-0.2007879880077511
4,2018-12-31→2022-12-30,2022-12-31→2024-07-01,lb=9 skip=0 N=10,0.6160445351531537,0.10644192457391899,-0.02540471420530188,-0.14368883264679702,-0.13584668753603035
5,2020-07-01→2024-06-30,2024-07-01→2025-12-30,lb=6 skip=0 N=5,0.6894775499300169,0.10779656208450361,0.036569978610238474,0.33361157160418803,-0.09327861663566284
