sub_strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
A,1.0427422165455804,0.09991294242185789,0.16295019186940318,0.6131501980797504,-0.295810575455185
B,1.125278160374831,0.1079855660374933,0.16350286446696433,0.6604506067189528,-0.3011503942769203
C,1.1704592907214773,0.11253557468974143,0.16454667938711737,0.6839127663280699,-0.2727503664343789
D,1.0991076891405935,0.1058773462016168,0.16637718413029456,0.6363693841500607,-0.27307130151771003
