,CAGR,Vol (ann.),Sharpe,Sortino,Max DD,Calmar,Hit rate
Long-only 18-0 (top 20),0.07621585766486638,0.15597272800286602,0.5493109542977093,0.4779885249192952,-0.3288929266470868,0.23173456006443266,0.4717296754767481
Long/short 18-0 (±20),0.004970151852393467,0.07362171912401537,0.10415551205621962,0.09341687229425921,-0.14481712462404372,0.03432019428155586,0.4536634325861492
SPY,0.11855565951510405,0.17528921904245207,0.7271617624937023,0.6869309929254923,-0.3410474670449847,0.34762216691515957,0.5455153949129853
