strategy,sharpe,ci_low_95,ci_high_95,ci_includes_zero
Momentum 6-1 (baseline),0.3663292363550344,-0.14890610407288932,0.9302946838418021,True
Momentum 18-0 (best in-sample),0.5493109542977093,0.027370901278036916,1.137405068016087,False
Momentum 18-0 + 200d MA filter,0.37628972047695974,-0.11393914899694695,0.872894472750105,True
Walk-forward OOS,0.1303132694553491,-0.5014478857015889,0.7782845385013133,True
SPY,0.7271617624937023,0.18161762835590958,1.307953965997207,False
Equal-weight,0.41894124309266756,-0.12996374413726242,0.9915054677791604,True
