metric,Unfiltered (Phase 1),Filtered (Phase 2)
total_return,1.1098811890014075,1.3617791109296031
annualized_return,0.10634603027694095,0.1304822570168289
annualized_volatility,0.16206370037402767,0.1340338560837522
sharpe_ratio,0.6561989515943693,0.9735022242089039
max_drawdown,-0.2854151802877341,-0.23902795448991604
pct_days_in_cash,,0.36958174904942964
