,CAGR,Vol (ann.),Sharpe,Sortino,Max DD,Calmar,Hit rate
Momentum 18-0 (no filter),0.07621585766486638,0.15597272800286602,0.5493109542977093,0.4779885249192952,-0.3288929266470868,0.23173456006443266,0.4717296754767481
Momentum 18-0 (200d MA filter),0.036340296830169594,0.11141236578928156,0.37628972047695974,0.29127847952438674,-0.26295790121563156,0.13819815515020295,0.38240214118434257
SPY,0.11855565951510405,0.17528921904245207,0.7271617624937023,0.6869309929254923,-0.3410474670449847,0.34762216691515957,0.5455153949129853
