,CAGR,Vol (ann.),Sharpe,Sortino,Max DD,Calmar,Hit rate
Walk-forward OOS,0.008495177380486219,0.12611456871577117,0.1303132694553491,0.10350779415128945,-0.29449324764926577,0.028846764563524956,0.3885350318471338
SPY (same window),0.13262861965935668,0.19718135517004146,0.7305883235912631,0.6854874744662803,-0.3410474670449841,0.3888861008366996,0.5528412108337759
